State,State Code,Deaths,Births,Death Rate,Abortion Ban Category,AbortionBanNum,HHINCOME,female_rate,age_rate,white_rate,black_rate,asian_rate,other_race_rate,hispanic_rate,hc_no,hc_priv,hc_med,ed_nohs,ed_hs,ed_some_col,ed_bach,ed_grad,emp_rate,Region
Oregon,41.0,177.0,39493.0,4.48,No gestational ban,1,86000.0,0.5083141661324988,0.3389917423928207,0.8343275140454735,0.0570943780400437,0.0020285811243919,0.0078730062968967,0.0197353040986388,0.1385845179291882,0.7135402134157837,0.1478752686550281,0.052381131933185,0.063361110063723,0.0537460880057313,0.0169526035971494,0.0197202217110968,0.0176648653856962,Pacific
Pennsylvania,42.0,741.0,130252.0,5.69,24-26-week ban,2,103000.0,0.5227381982501682,0.3647726180174983,0.7710797038746274,0.0398038650129795,0.0037496394577444,0.0125949427939621,0.0286510912412268,0.1213344870685511,0.7217575233150658,0.156907989616383,0.046630131718104,0.06441688299202,0.0511489279876934,0.0152869916354196,0.0176906066724353,0.0222337662337662,Mid Atlantic
Rhode Island,44.0,40.0,10269.0,3.9,24-26-week ban,2,75000.0,0.5140985526339865,0.3375601544345025,0.6907650363213848,0.2036376278567638,0.0052515050044829,0.0020493678066275,0.0092953468372033,0.1772337194195897,0.6736381767945692,0.149128103785841,0.0516550474831201,0.0645550859087665,0.0575286820003293,0.0189200563576146,0.0253243307533256,0.018050962847695,New England
South Carolina,45.0,391.0,57820.0,6.76,6-week ban,6,79000.0,0.4952667814113597,0.3415447504302926,0.8378872633390706,0.007960413080895,0.082078313253012,0.0005378657487091,0.0032271944922547,0.173407917383821,0.7126721170395869,0.113919965576592,0.0671256454388984,0.0790662650602409,0.0703528399311531,0.0180722891566265,0.0193631669535284,0.010415474419137,South Atlantic
South Dakota,46.0,87.0,11201.0,7.77,Total abortion ban,7,75200.0,0.5147152292259651,0.3503053582778346,0.778138558045707,0.112554232182828,0.0029292287285489,0.0033575593445159,0.0050708818083842,0.186310000829027,0.6665515240279658,0.1471384751430071,0.0581286097217232,0.0687816066543233,0.0594274186862685,0.0193163290684499,0.0229225965125597,0.0161395288298841,Midwest
Tennessee,47.0,544.0,82265.0,6.61,Total abortion ban,7,86000.0,0.5071470269938105,0.3798865898081039,0.5504252028717836,0.0907554648213328,0.0092926713528313,0.0101529774442764,0.0075686452568798,0.2307668672909575,0.6447243094507356,0.1245088232583069,0.0679232142674254,0.0792983725876436,0.0718867673315831,0.0246825914331265,0.0225830349004332,0.0201333601586526,South
Texas,48.0,2228.0,389741.0,5.72,Total abortion ban,7,104000.0,0.4991980189661479,0.4218138841207755,0.8262093029799927,0.0082167881363086,0.0149140332611081,0.0057123561358584,0.0034330416185947,0.1335509469004136,0.7814390635112699,0.0850099895883164,0.0698145594732251,0.0944367841967526,0.0713341024847342,0.0211329037341362,0.0215268593297126,0.0127620783956244,South
Utah,49.0,230.0,45768.0,5.03,18-23-week ban,3,87400.0,0.5091836734693878,0.3201166180758018,0.9067055393586004,0.0118075801749271,0.0042274052478134,0.0037900874635568,0.0048104956268221,0.1212827988338192,0.6826530612244898,0.1960641399416909,0.0418367346938775,0.0591836734693877,0.0481049562682215,0.0137026239067055,0.0166180758017492,0.0145087525626872,West
Vermont,50.0,26.0,5316.0,4.89,No gestational ban,1,103330.0,0.5121844053131442,0.367672739153457,0.6596590845078356,0.1469564335687971,0.0045853471682383,0.0106127691215736,0.0109507553993307,0.1297191334031838,0.7412039071213709,0.1290769594754452,0.0566127015243181,0.0681042349680603,0.0573675375446423,0.0181723955340746,0.0218226473338515,0.0160166630754866,New England
Virginia,51.0,594.0,95630.0,6.21,24-26-week ban,2,105200.0,0.5041079957435225,0.3782078249894825,0.6856517112524437,0.0284466331757776,0.0220866638620109,0.0245489866118933,0.0051844886040238,0.1302556361206661,0.7109926006582692,0.1587517632210646,0.0592937216956618,0.070615456952659,0.0553837016506223,0.0174837288722809,0.0177064515330743,0.0182794574960148,Mid Atlantic
Washington,53.0,362.0,83333.0,4.34,24-26-week ban,2,66000.0,0.5062034739454094,0.3323407775020678,0.9009098428453268,0.0323683484973807,0.0024813895781637,0.0019299696719051,0.0035290874000551,0.1561069754618141,0.6251447477253929,0.2187482768127929,0.0507306313757926,0.0611524676040805,0.0587262200165425,0.0247036118003859,0.0263027295285359,0.0188339243155263,Pacific
West Virginia,54.0,124.0,16929.0,7.32,Total abortion ban,7,86000.0,0.4924556618845515,0.3271418658318137,0.8711572288476125,0.0318556651120757,0.0105862797940839,0.0026627075701583,0.0062613971952813,0.1439153097616473,0.7194797230784127,0.1366049671599399,0.0524634079429373,0.0659705972533768,0.0593541723820743,0.0152661900689076,0.0186389529911081,0.0113599425159535,Mid Atlantic
Wisconsin,55.0,348.0,60049.0,5.8,18-23-week ban,3,79000.0,0.4993290841999329,0.3562562898356256,0.830929218383093,0.0097282791009728,0.0422676954042267,0.0020127474002012,0.002180476350218,0.1990942636699094,0.7002683663200269,0.1006373700100637,0.0535055350553505,0.0677624958067762,0.0603824220060382,0.0214693056021469,0.0223079503522307,0.015947304558849,Midwest
